Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41033900] Освітня субвенція (зарплати),[41032800] Облаштування безпечних умов (укриттів) у школах,[41033800] Майстерні профтехів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
1451200000,Галицинівська,0.0,0.0,0.0,0.0,0.0,27141700.0,0.0,0.0,0.0,0.0,0.0,27141700.0,0.0
1453500000,Горохівська,0.0,0.0,0.0,0.0,0.0,18864500.0,0.0,0.0,0.0,0.0,0.0,18864500.0,0.0
1450600000,Доманівська,0.0,0.0,0.0,0.0,0.0,51929100.0,0.0,0.0,0.0,0.0,0.0,51929100.0,0.0
1452000000,Дорошівська,0.0,0.0,0.0,0.0,0.0,16451700.0,0.0,0.0,0.0,0.0,0.0,16451700.0,0.0
1452500000,Казанківська,0.0,0.0,0.0,0.0,0.0,47844900.0,0.0,0.0,0.0,0.0,0.0,47844900.0,0.0
1450900000,Кам'яномостівська,0.0,0.0,0.0,0.0,0.0,25124500.0,0.0,0.0,0.0,0.0,0.0,25124500.0,0.0
1451300000,Коблівська,0.0,0.0,0.0,0.0,0.0,33935100.0,1241689.0,0.0,0.0,0.0,0.0,35176789.0,0.0
1451500000,Костянтинівська,0.0,0.0,0.0,0.0,0.0,18544400.0,0.0,0.0,0.0,0.0,0.0,18544400.0,0.0
1454800000,Кривоозерська,0.0,0.0,0.0,0.0,0.0,76269577.0,0.0,0.0,0.0,0.0,0.0,76269577.0,0.0
1450100000,Куцурубська,0.0,0.0,0.0,0.0,0.0,23373400.0,0.0,0.0,0.0,0.0,0.0,23373400.0,0.0
1453800000,Мигіївська,0.0,130500.0,0.0,0.0,0.0,28627000.0,0.0,0.0,0.0,0.0,130500.0,28627000.0,0.0
1454900000,Миколаївська,0.0,0.0,0.0,0.0,0.0,811283630.0,31103993.0,0.0,0.0,0.0,0.0,842387623.0,0.0
1451500000,Мостівська,0.0,0.0,0.0,0.0,0.0,18544400.0,0.0,0.0,0.0,0.0,0.0,18544400.0,0.0
1454200000,Мішково-Погорілівська,0.0,0.0,0.0,0.0,0.0,19965300.0,0.0,0.0,0.0,0.0,0.0,19965300.0,0.0
1451600000,Нечаянська,0.0,0.0,0.0,0.0,0.0,25990700.0,0.0,0.0,0.0,0.0,0.0,25990700.0,0.0
1453100000,Новобузька,0.0,0.0,0.0,0.0,0.0,44481500.0,0.0,0.0,0.0,0.0,0.0,44481500.0,0.0
1453900000,Новомар'ївська,0.0,0.0,0.0,0.0,0.0,19740800.0,0.0,0.0,0.0,0.0,0.0,19740800.0,0.0
