Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020600] [Назву стерто] Додаткова дотація (виключена наприкінці 2024 року),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021100] [Назву стерто] Додаткова дотація (виключена наприкінці 2023 року),[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
0856800000,Мелітопольська,0.0,57928800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,57928800.0,0.0,0.0
0850500000,Мирненська,975200.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,975200.0,0.0
0856900000,Михайло-Лукашівська,0.0,4137900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4137900.0,0.0,0.0
0853700000,Михайлівська,0.0,17337900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17337900.0,0.0,0.0
0857000000,Молочанська,0.0,4636500.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4636500.0,0.0,0.0
0855200000,Новенська,0.0,5445700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5445700.0,0.0,0.0
0853400000,Новобогданівська,0.0,5378400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5378400.0,0.0,0.0
0857100000,Нововасилівська,0.0,9380700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9380700.0,0.0,0.0
0857200000,Новомиколаївська,0.0,3477700.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3477700.0,0.0,0.0
0854100000,Новоолександрівська,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0852600000,Новоуспенівська,0.0,4437900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4437900.0,0.0,0.0
0854100000,Олександрівська,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
