Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41038800] Програма відновлення України III,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41037900] Шкільні автобуси (разова програма за рахунок залишків),[41037400] Покращення якості гарячого харчування,[41031100] Забезпечення харчуванням учнів (нові коди),"[41038000] Для підтримки закладів освіти, які постраждали внаслідок агресії",[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2550500000,Парафіївська,0.0,0.0,0.0,0.0,0,0.0,19757200.0,0.0,0.0,0.0,76700.0,0.0,0.0,0.0,0.0,0.0,19833900.0,0.0
2552200000,Плисківська,0.0,0.0,0.0,0.0,0,0.0,8866200.0,0.0,0.0,0.0,31500.0,0.0,0.0,0.0,0.0,0.0,8897700.0,0.0
2554800000,Понорницька,0.0,0.0,0.0,0.0,0,0.0,23758900.0,0.0,0.0,0.0,86700.0,0.0,0.0,0.0,0.0,0.0,23845600.0,0.0
2555600000,Прилуцька,0.0,0.0,0.0,0.0,0,0.0,110489300.0,0.0,24629522.0,0.0,341800.0,0.0,0.0,0.0,0.0,0.0,135460622.0,0.0
2555700000,Ріпкинська,0.0,0.0,0.0,0.0,0,0.0,31058500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31058500.0,0.0
2555800000,Седнівська,0.0,0.0,0.0,0.0,0,0.0,6960100.0,0.0,0.0,0.0,26000.0,0.0,0.0,0.0,0.0,0.0,6986100.0,0.0
2552800000,Семенівська,0.0,0.0,0.0,0.0,0,0.0,41017400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41017400.0,0.0
2551000000,Сновська,0.0,0.0,0.0,0.0,0,0.0,58047500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58047500.0,0.0
2552900000,Сосницька,0.0,0.0,0.0,0.0,0,0.0,40931600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40931600.0,0.0
2553000000,Срібнянська,0.0,0.0,0.0,0.0,0,0.0,29638100.0,0.0,0.0,0.0,136000.0,0.0,0.0,0.0,0.0,0.0,29774100.0,0.0
2554900000,Сухополов'янська,0.0,0.0,0.0,0.0,0,0.0,31740200.0,0.0,4206087.0,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,36019287.0,0.0
2555000000,Талалаївська,0.0,0.0,0.0,0.0,0,0.0,16940000.0,0.0,0.0,0.0,73500.0,0.0,0.0,0.0,0.0,0.0,17013500.0,0.0
