Код громади,Назва громади,Вид кластеризації,Рік,Кластер,Відстань до центроїда
2453100000,Хотинська,Пул (KMeans),2022,2,0.4379478115553067
2453100000,Хотинська,Пул (Математичний),2022,0,1.2172691937142166
2453200000,Чагорська,Пул (KMeans),2022,2,0.470308994938484
2453200000,Чагорська,Пул (Математичний),2022,0,1.2257447142879958
2455200000,Чернівецька,Пул (KMeans),2022,2,1.9904607817785187
2455200000,Чернівецька,Пул (Математичний),2022,0,2.486668785116227
2451600000,Чудейська,Пул (KMeans),2022,2,0.5371984522350965
2451600000,Чудейська,Пул (Математичний),2022,0,1.2373750815688975
2452400000,Юрковецька,Пул (KMeans),2022,2,0.4644737343876239
2452400000,Юрковецька,Пул (Математичний),2022,0,1.222034599934414
0450100000,Апостолівська,Пул (KMeans),2022,2,0.427433740952335
0450100000,Апостолівська,Пул (Математичний),2022,0,1.2187678783129743
0450200000,Богданівська,Пул (KMeans),2022,0,1.1988325385165313
0450200000,Богданівська,Пул (Математичний),2022,1,1.9104101840955101
0451800000,Божедарівська,Пул (KMeans),2022,2,0.2864711643386974
0451800000,Божедарівська,Пул (Математичний),2022,0,1.2025646004902677
0457200000,Брагинівська,Пул (KMeans),2022,2,0.462269543734043
0457200000,Брагинівська,Пул (Математичний),2022,0,1.2648447323092162
0450500000,Вакулівська,Пул (KMeans),2022,2,0.4873564869125221
0450500000,Вакулівська,Пул (Математичний),2022,0,1.2846826430207232
0451900000,Васильківська,Пул (KMeans),2022,2,0.5122827275050416
0451900000,Васильківська,Пул (Математичний),2022,0,1.232363646923835
0452900000,Великомихайлівська,Пул (KMeans),2022,2,0.5110342754294424
0452900000,Великомихайлівська,Пул (Математичний),2022,0,1.2856638503494677
0450300000,Вербківська,Пул (KMeans),2022,0,0.8476152071671147
0450300000,Вербківська,Пул (Математичний),2022,1,0.31981867587696095
0453600000,Верхньодніпровська,Пул (KMeans),2022,2,0.5182891174700068
0453600000,Верхньодніпровська,Пул (Математичний),2022,0,1.24167382864029
0457300000,Верхівцівська,Пул (KMeans),2022,2,0.21291446199843833
